TransactionID,CustomerID,TransactionAmount,TransactionType,MerchantCategory,TransactionDate,TransactionTime,Location,DeviceType,IsFraud
1,1393,229.61,Online,Services,9/1/2024,13:38:00,SG,Desktop,1
2,1584,1336.54,Online,Services,29/1/2024,17:09:00,ID,Desktop,1
3,1305,1104.95,Online,Retail,9/1/2024,23:35:00,TH,Tablet,1
4,1313,4026.35,Online,Services,6/1/2024,1:22:00,ID,Desktop,1
5,1179,1055.08,ATM,Food,15/1/2024,19:46:00,MY,Tablet,1
6,1410,1116.3,ATM,Services,22/1/2024,23:27:00,ID,Tablet,1
7,1492,815.81,ATM,Travel,5/1/2024,7:42:00,SG,Mobile,0
8,1544,1315.9,ATM,Services,19/1/2024,7:02:00,ID,Mobile,1
9,1625,298.99,ATM,Electronics,10/1/2024,22:33:00,MY,Desktop,1
10,1880,1307.95,POS,Services,22/1/2024,17:27:00,SG,Tablet,0
11,1850,2029.67,POS,Electronics,4/1/2024,17:41:00,SG,Mobile,0
12,1635,3358.69,POS,Electronics,9/1/2024,21:26:00,TH,Desktop,1
13,1181,4230.97,ATM,Travel,3/1/2024,1:49:00,ID,Tablet,1
14,1793,2731.65,ATM,Services,9/1/2024,11:19:00,SG,Tablet,0
15,1177,242.23,ATM,Travel,26/1/2024,21:25:00,MY,Desktop,1
16,2000,2825.2,ATM,Services,4/1/2024,12:50:00,SG,Desktop,0
17,1327,4478.98,Online,Food,4/1/2024,12:37:00,MY,Tablet,1
18,1437,4337.88,Online,Services,19/1/2024,3:05:00,TH,Desktop,1
19,1522,1540.37,Online,Retail,22/1/2024,6:40:00,SG,Desktop,1
20,1302,3304.64,POS,Food,8/1/2024,2:40:00,MY,Tablet,1
21,1998,4816.87,Online,Services,26/1/2024,15:48:00,TH,Tablet,1
22,1719,725.26,POS,Food,17/1/2024,12:55:00,ID,Tablet,1
23,1646,3813.27,POS,Retail,15/1/2024,17:32:00,MY,Desktop,1
24,1437,1732.92,Online,Food,13/1/2024,6:48:00,MY,Desktop,1
25,1427,1259.6,ATM,Retail,29/1/2024,9:52:00,TH,Desktop,1
26,1374,2184.26,ATM,Travel,11/1/2024,20:08:00,ID,Desktop,1
27,1430,9.67,Online,Retail,10/1/2024,4:26:00,SG,Mobile,1
28,1233,2219.83,Online,Electronics,12/1/2024,20:59:00,TH,Desktop,1
29,1153,4158.49,Online,Travel,24/1/2024,19:48:00,ID,Mobile,1
30,1947,453.01,ATM,Travel,4/1/2024,22:18:00,ID,Mobile,1
31,1837,3009.61,POS,Food,8/1/2024,20:44:00,TH,Tablet,1
32,1350,3570.9,ATM,Travel,19/1/2024,9:55:00,MY,Mobile,1
33,1517,4819.16,Online,Travel,25/1/2024,8:46:00,MY,Mobile,1
34,1419,2778,POS,Services,23/1/2024,0:35:00,ID,Tablet,1
35,1870,834.74,Online,Travel,23/1/2024,13:39:00,MY,Mobile,1
36,1883,2780.85,ATM,Retail,12/1/2024,6:05:00,MY,Desktop,1
37,1619,2860.14,POS,Food,3/1/2024,11:39:00,TH,Tablet,1
38,1024,4404.7,ATM,Electronics,4/1/2024,0:54:00,MY,Mobile,1
39,1079,4906.5,POS,Travel,30/1/2024,20:36:00,SG,Desktop,1
40,1940,568.22,POS,Retail,1/1/2024,7:58:00,TH,Desktop,1
41,1246,1973.61,POS,Retail,25/1/2024,6:40:00,SG,Tablet,0
42,1893,331.33,ATM,Services,18/1/2024,20:56:00,SG,Desktop,0
43,1502,4323.48,Online,Electronics,7/1/2024,19:02:00,ID,Tablet,1
44,1275,4894.53,ATM,Travel,29/1/2024,9:07:00,TH,Tablet,1
45,1975,1345.26,POS,Electronics,4/1/2024,20:07:00,SG,Desktop,0
46,1086,1357.38,Online,Electronics,18/1/2024,17:56:00,TH,Desktop,1
47,1810,2853.52,ATM,Retail,13/1/2024,4:03:00,SG,Mobile,0
48,1027,2023.83,ATM,Electronics,16/1/2024,16:35:00,ID,Mobile,1
49,1142,1247.03,Online,Retail,22/1/2024,14:44:00,ID,Tablet,1
50,1757,3866.79,Online,Food,4/1/2024,23:53:00,SG,Tablet,1
51,1594,3496.21,Online,Electronics,14/1/2024,14:31:00,ID,Tablet,1
52,1021,772.94,Online,Food,30/1/2024,17:07:00,TH,Desktop,1
53,1519,2406.69,POS,Services,17/1/2024,4:15:00,SG,Desktop,0
54,1829,1743.52,Online,Services,28/1/2024,5:13:00,SG,Tablet,1
55,1594,930.54,POS,Services,13/1/2024,6:01:00,TH,Desktop,1
56,1954,3760.15,ATM,Retail,20/1/2024,12:22:00,SG,Tablet,1
57,1213,3906.28,ATM,Travel,20/1/2024,22:05:00,MY,Mobile,1
58,1581,2456.23,POS,Services,8/1/2024,9:55:00,ID,Desktop,1
59,1392,2190.27,Online,Food,16/1/2024,2:41:00,ID,Mobile,1
60,1367,272.88,POS,Travel,5/1/2024,8:56:00,SG,Mobile,0
61,1314,646.54,ATM,Food,16/1/2024,3:02:00,SG,Tablet,0
62,1928,4757.09,POS,Travel,4/1/2024,7:28:00,SG,Tablet,1
63,1247,581,Online,Food,3/1/2024,10:11:00,MY,Desktop,1
64,1482,3069.4,ATM,Electronics,31/1/2024,19:55:00,MY,Mobile,1
65,1619,4316.42,ATM,Services,15/1/2024,14:33:00,ID,Desktop,1
66,1932,2292.68,POS,Services,10/1/2024,17:49:00,TH,Tablet,1
67,1690,4976.53,Online,Food,5/1/2024,12:16:00,MY,Desktop,1
68,1213,4529.89,Online,Retail,11/1/2024,13:32:00,ID,Mobile,1
69,1717,972.39,Online,Retail,30/1/2024,1:05:00,ID,Desktop,1
